Geracao,Fitness,Genoma
1,184,BBBBDDCCBBEEDDCBBCCCDD
2,482,BBBBBBCCBBCBCCBCCCDBDECBCBB
3,482,DDDDCBBBDCCEEDCCBDCEDDDECBDDDEDEBBED
4,483,DDDDBEBEDDEDBCECEDDEDDBCCCBCDCECEB
5,484,DDDDBBBBDCECEDDCDBDBDDCDCBBEDEDEEB
6,484,DDDDBBBBDCECEDDCDDDDDDCBCBDEDED
7,484,DDDDBBBBDCECEDDCDEDBDDCDCCBEDEDE
8,484,DDDDBBBCDCCCEDDBEDCDDDCCCBDEDEDE
9,485,DDDDBBDCDCECEDDBEDDDDDCBCBDEDEDE
10,485,DDDDBBDCBCBCEEDBECDDDDDCCBBECEDEB
11,486,DDDDBBDDDCBCEDDBEDEDDDCBCBBEDEDEBC
12,486,DDDDBBDDDCBCEDDBCDDDDDCBCBBEDED
13,486,DDDDBBDDDCBCEDDBEDDDDDCBDBBEDEDE
14,487,DDDDBBDDBECCEDDBEDDEDDEBCBBEDED
15,487,DDDDBBDDBECCEDDBCDCCDDEBCBBED
16,487,DDDDBBDDBECCEDDBEDDEDDEBBBBEDED
17,487,DDDDBBDDBECCEDEBCDCEDDCBCBDE
18,487,DDDDBBDDBEBCEDDBDDCDBDCBCBDEC
19,487,DDDDBBDDBEECEDBBDDDEDDCBCBBECED
20,487,DDDDBBDDBEBCEDDBDDCDDDCBCBDE
21,487,DDDDBBDDBEECEDDBDDDDBDCBCBDECB
22,487,DDDDBBDDBEECEDDBDDCDDDCBCBBED
23,487,DDDDBBDDBEEEEDBBEDCBDECBCBBEDC
24,487,DDDDBBDDBEBCEDDCCDDEDEEBCBBEEE
25,487,DDDDBBDDBEBDEEBCDDEDBBBBCBB
26,487,DDDDBBDDBECCEEBBCDDEBDCBDBD
27,487,DDDDBBDDBDECECEBBCEEBECBCBDE
28,487,DDDDBBDDBDCCEDDBDDECBDCBCB
29,487,DDDDBBDDBECEEDDBDDDBDBCBBEDE
30,487,DDDDBBDDBECCEDDBCDEEBBCBCBB
31,487,DDDDBBDDBEECEDEBDDECBDCBDBBEE
32,487,DDDDBBDDBECCEDDBDBECBDCBC
33,487,DDDDBBDDBDBCEDBBEDDEBDBBC
34,487,DDDDBBDDBDBCEDBBCDDBBBCBED
35,487,DDDDBBDDBEBCEEDBCDDEEDCC
36,487,DDDDBBDDBDBCEDDBECDEBDBCCE
37,487,DDDDBBDDBDCCECDBCBCEBDE
38,487,DDDDBBDDBEECBDDBDCEEBDCBD
39,487,DDDDBBDDBEBCBEDBEDEEDBCBE
40,487,DDDDBBDDBEECBEBBBBEDDDCB
41,487,DDDDBBDDBDBEEDDBCDEDDDCD
42,489,DDDDBBDDBBBEEDDBCBDDBDCBC
43,489,DDDDBBDDBBBEEDBBCBCDBBCBEB
44,489,DDDDBBDDBBBEEDDCCBCBBDC
45,489,DDDDBBDDBBBEBDECCBCDBCC
46,489,DDDDBBDDBBBEEDBCCBBBDD
47,489,DDDDBBDDBBBEEBDBCBCDBCC
48,489,DDDDBBDDBBBEEDDDCDDBDDC
49,489,DDDDBBDDBBBEBDCDCBCBBC
50,490,DDDDBBDDBBBBEBDDCBCB
51,490,DDDDBBDDBBBBEDEDCBDDD
52,490,DDDDBBDDBBBBEDEDCBCDDC
53,490,DDDDBBDDBBBBEDEBEBCBD
54,490,DDDDBBDDBBBBEDEDCDCCD
55,490,DDDDBBDDBBBBEBBDEBDDD
56,491,DDDDBBDDBBBBDBCCBD
57,492,DDDDBBDDBBBBDDCCBBC
58,492,DDDDBBDDBBBBDDCEBBDDDD
59,494,DDDDBBDDBBBBDDBBBBCDD
60,494,DDDDBBDDBBBBDDBBBCDDDE
61,494,DDDDBBDDBBBBDDBBBBCD
62,594,DDDDBBDDBBBBDDBCEDDD
63,997,DDDDBBDDBBBBDDDDBBD
64,997,DDDDBBDDBBBBDDDDBBD
65,998,DDDDBBDDBBBBDDDDBBDD
66,998,DDDDBBDDBBBBDDDDBBDD
67,998,DDDDBBDDBBBBDDDDBBDD
68,998,DDDDBBDDBBBBDDDDBBDD
69,998,DDDDBBDDBBBBDDDDBBDD
70,998,DDDDBBDDBBBBDDDDBBDD
71,998,DDDDBBDDBBBBDDDDBBDD
72,999,DDDDBBDDBBBBDDDDBBDDD
73,999,DDDDBBDDBBBBDDDDBBDDD
74,999,DDDDBBDDBBBBDDDDBBDDD
75,999,DDDDBBDDBBBBDDDDBBDDD
76,999,DDDDBBDDBBBBDDDDBBDDD
77,999,DDDDBBDDBBBBDDDDBBDDD
78,999,DDDDBBDDBBBBDDDDBBDDD
79,999,DDDDBBDDBBBBDDDDBBDDD
80,1000,DDDDBBDDBBBBDDDDBBDDDD
