Geracao,Fitness,Genoma
1,483,BDBDBBEDBBCBDECEBDEDBCDDEDDBBCEEDCDCECBCECEEEEBDC
2,485,BBDDDBDEBBCCDBDEBEDDBDDDEBCBBECEDCEDEDECDCEDEEBBEBBCB
3,485,BBDDDBDCBCDCCBEEBEDBBEDBEDCEEEBDDEEEDDECDEEBDCCB
4,485,BBDDDBBEBBBCBDDDDCBCCCBBEEDDBEECCCEDEDEDBBDEEB
5,485,BBDDDBECECDCCBEEECDBEEDBCDBDECBECEEEDCECCBDD
6,486,BBDDDDDDBCCECDDDDDBCBDEBDECBBCDBBCCCDB
7,486,BBDDDDDBBCCEBEBBBCEBECDDCECCEDDCDDBC
8,486,BBDDDDDBBCCEBEBBBCEBECDDCECCEDDCDDBC
9,490,BBDDDBBDBBBEBDEEEDDBBDEEEBDDBEEECCDCCECBBB
10,490,BBDDDBBDBBBEBDEEEDDBBDEEEBDDBEEECCDCCECBBB
11,490,BBDDDBBDBBBEBDEEEDDBBDEEEBDDBEEECCDECECBBB
12,490,BBDDDBBDBBBEBDEEECBBBDDCDDDCBEEECEDCCECDBB
13,490,BBDDDBBDBBBEBDEEEDDCBDECECDDBEEEBCDCDECBBC
14,490,BBDDDBBDBBBEDDEEEDDCBDEEDBBBBEBECCCEBEBDD
15,490,BBDDDBBDBBBECDCEBCBCBDECDEDCEEEDBECCDEEDB
16,490,BBDDDBBDBBBEBDEBBDBCBDEBECBBBEBEBCCECEBC
17,491,BBDDDBBDBBBBBDEBDDECBDECECDDCCDEBCDDCEDDDD
18,491,BBDDDBBDBBBBBDEEDDDEBDEEECDBBEEECECCDEB
19,491,BBDDDBBDBBBBBDEBEDDCBDEEECBDCEBCCCDDBBDD
20,491,BBDDDBBDBBBBBDEEDBDEBDECCCDBBEBEDCCCBECEE
21,491,BBDDDBBDBBBBBDECEDDCBDBEECDDCEDECCCDBBB
22,491,BBDDDBBDBBBBBDEDECDCBDDEEBDDBEDCECDDDB
23,491,BBDDDBBDBBBBBDECDDDEBDDCECDBCEBECECEBCBE
24,491,BBDDDBBDBBBBBDECBDDCBDEECCDBBEEECCDBDED
25,491,BBDDDBBDBBBBBDEEEDDEBDECEBDBBEEECCDCDC
26,491,BBDDDBBDBBBBBDEEBCDCBDEEECDCBCEDECDCDE
27,491,BBDDDBBDBBBBBDEEBDDEBDEECCDBBEBEECDEBB
28,491,BBDDDBBDBBBBBDECEDBCBDEEECDBBEBECEBED
29,491,BBDDDBBDBBBBBDEBEDCBBDECCBDDBEEECCDCD
30,491,BBDDDBBDBBBBBDEBBDDEBDECCCEDBEBECCDCD
31,491,BBDDDBBDBBBBBDEBBBDEBCECDCDBBCBEECBED
32,491,BBDDDBBDBBBBBDECEDDEDDEEEBBBBEEECEDEE
33,491,BBDDDBBDBBBBBDEBEDDCDDEDECDCBCEECCDEC
34,491,BBDDDBBDBBBBBDECCDBDBDEDBCDDBEDDCECC
35,491,BBDDDBBDBBBBBDECEDDCBCEEDCDBBEEECCBDD
36,491,BBDDDBBDBBBBBDECBDDCDDEEDCDDBEBEBEBC
37,491,BBDDDBBDBBBBBDBBBDDBBCBDECEBBEEBCCDEB
38,491,BBDDDBBDBBBBBDEBBDDEBDECBDDBEBECCCCDD
39,491,BBDDDBBDBBBBBDBCEDDCDCEECCDBBCBECB
40,491,BBDDDBBDBBBBBDEBBDDECDECBCBBDBECCECD
41,491,BBDDDBBDBBBBBDECEDBBBCECDBDDCCEECE
42,491,BBDDDBBDBBBBBDEBDDDEBCEEECEDBCEBC
43,491,BBDDDBBDBBBBDDBBEDDBDDDCCCDDBBCECCE
44,491,BBDDDBBDBBBBBDECDDDEBDEEDCDBBBED
45,491,BBDDDBBDBBBBBDEBDDDCCDCEECDCDEDECC
46,491,BBDDDBBDBBBBBDEBEDEEDDEEDCDDBBEDDE
47,491,BBDDDBBDBBBBBDECEDDEDDEEBCEBBDEEBE
48,491,BBDDDBBDBBBBBDECBDEECDDCDEDDBBCDC
49,491,BBDDDBBDBBBBBDECDDBEDCECDCDBBEEEC
50,491,BBDDDBBDBBBBBDDBEDDEDDEDCCDDBBED
51,491,BBDDDBBDBBBBBDDBEDDCDDEBECECBBEE
52,491,BBDDDBBDBBBBBDEEEDEEDDEEDCDCCDE
53,491,BBDDDBBDBBBBBDDBECDEDDEEDCEBDEEC
54,491,BBDDDBBDBBBBDDEBBDDEDDEECCEDBEEE
55,491,BBDDDBBDBBBBBDEBEDDEBDEEECDBBEB
56,491,BBDDDBBDBBBBBCEBBDDEBDEECCEDCDCEB
57,491,BBDDDBBDBBBBBCECBDDCBDEBCDDDCD
58,491,BBDDDBBDBBBBBDEBEDDDDCEEEDEBBB
59,491,BBDDDBBDBBBBBDDBEDEEBDEECCDBBEEC
60,491,BBDDDBBDBBBBBDDBEDBDEDEBECDBD
61,491,BBDDDBBDBBBBBCDCEDDCDDEECCDDB
62,491,BBDDDBBDBBBBBBDCDCDEDCEBCCDBCEBB
63,491,BBDDDBBDBBBBBEEEEDCEDDEECEDDD
64,491,BBDDDBBDBBBBBBBCECDCDDECCBDBEB
65,491,BBDDDBBDBBBBBBECBCCCDDEEECEDBC
66,491,BBDDDBBDBBBBBBBBEDECDCEEEEBBBE
67,491,BBDDDBBDBBBBBBEBEDBEEDEECCDBEE
68,491,BBDDDBBDBBBBBBDCEDCEDDEEDCE
69,491,BBDDDBBDBBBBDBECECBEDBEEEED
70,491,BBDDDBBDBBBBBBDBEDCCDDECDCE
71,491,BBDDDBBDBBBBBBECECDCBDEECCCE
72,491,BBDDDBBDBBBBBBEBEECCDDEE
73,491,BBDDDBBDBBBBBBECECCCDCEEEE
74,491,BBDDDBBDBBBBBDEBEDCCEDECDEE
75,491,BBDDDBBDBBBBBDEBEDCCEDCEBD
76,491,BBDDDBBDBBBBBBBBECDCDDEE
77,491,BBDDDBBDBBBBBBCBBCCCBDDEDBEE
78,491,BBDDDBBDBBBBBBEEEECEBDDCDDD
79,491,BBDDDBBDBBBBBBECBCDEEDECC
80,491,BBDDDBBDBBBBBBDBEECEBDC
81,491,BBDDDBBDBBBBBDECBDDCEDEC
82,491,BBDDDBBDBBBBBDECEBBCDDECC
83,491,BBDDDBBDBBBBBBBCEEBCBDEE
84,491,BBDDDBBDBBBBBBEBEBDEBDECBE
85,491,BBDDDBBDBBBBBCECBBBEEDEE
86,491,BBDDDBBDBBBBBBEBCCBCDDC
87,491,BBDDDBBDBBBBBDBBEECEDDEBCB
88,491,BBDDDBBDBBBBDEDBECBDBDEC
89,491,BBDDDBBDBBBBBDDBECDCBBEDDDE
90,491,BBDDDBBDBBBBDCBBBCBCBD
91,491,BBDDDBBDBBBBBDBBECCEDDE
92,491,BBDDDBBDBBBBBEBBECCBDEB
93,491,BBDDDBBDBBBBDCBBECBCBDE
94,491,BBDDDBBDBBBBBCBCECCDEB
95,491,BBDDDBBDBBBBBDBCEEBCBDCBD
96,491,BBDDDBBDBBBBDBBCBEDCBDD
97,491,BBDDDBBDBBBBBEBCDCDEBE
98,491,BBDDDBBDBBBBBDBCECDCB
99,491,BBDDDBBDBBBBBEBCBCEBBDDD
100,491,BBDDDBBDBBBBDBBCBCCED
101,491,BBDDDBBDBBBBBDBCECDB
102,491,BBDDDBBDBBBBBCBBEECBD
103,491,BBDDDBBDBBBBBDDCEEDCBEC
104,491,BBDDDBBDBBBBBDBCDECE
105,491,BBDDDBBDBBBBDEBBEDCB
106,491,BBDDDBBDBBBBBDBDDEDED
107,491,BBDDDBBDBBBBBDBDEEC
108,491,BBDDDBBDBBBBDEBCECEDD
109,491,BBDDDBBDBBBBBEBDB
110,491,BBDDDBBDBBBBBDBCC
111,491,BBDDDBBDBBBBBEECB
112,491,BBDDDBBDBBBBBBBCCEDB
113,491,BBDDDBBDBBBBBDECBBE
114,491,BBDDDBBDBBBBBBE
115,491,BBDDDBBDBBBBBEBB
116,491,BBDDDBBDBBBBBDEEECE
117,491,BBDDDBBDBBBBBEECCD
118,491,BBDDDBBDBBBBBEEC
119,491,BBDDDBBDBBBBBEEC
120,491,BBDDDBBDBBBBBE
121,491,BBDDDBBDBBBBDBC
122,491,BBDDDBBDBBBBBDC
123,491,BBDDDBBDBBBBBBBDE
124,491,BBDDDBBDBBBBBDDD
125,991,BBDDDBBDBBBB
126,991,BBDDDBBDBBBB
127,991,BBDDDBBDBBBB
128,991,BBDDDBBDBBBB
129,991,BBDDDBBDBBBB
130,991,BBDDDBBDBBBB
131,991,BBDDDBBDBBBB
132,991,BBDDDBBDBBBB
133,991,BBDDDBBDBBBB
134,991,BBDDDBBDBBBB
135,991,BBDDDBBDBBBB
136,991,BBDDDBBDBBBB
137,991,BBDDDBBDBBDD
138,991,BBDDDBBDBBDD
139,991,BBDDDBBDBBDD
140,991,BBDDDBBDBBBB
141,991,BBDDDBBDBBBB
142,991,BBDDDBBDBBDD
143,991,BBDDDBBDBBBB
144,991,BBDDDBBDBBDD
145,991,BBDDDBBDBBDD
146,991,BBDDDBBDBBDD
147,991,BBDDDBBDBBDD
148,991,BBDDDBBDBBBB
149,992,BBDDDBBDBBDDD
150,992,BBDDDBBDBBDDD
151,992,BBDDDBBDBBDDD
152,992,BBDDDBBDBBDDD
153,992,BBDDDBBDBBDDD
154,992,BBDDDBBDBBDDD
155,992,BBDDDBBDBBDDD
156,992,BBDDDBBDBBDDD
157,992,BBDDDBBDBBDDD
158,992,BBDDDBBDBBDDD
159,992,BBDDDBBDBBDDD
160,992,BBDDDBBDBBDDD
161,992,BBDDDBBDBBDDD
162,992,BBDDDBBDBBDDD
163,992,BBDDDBBDBBDDD
164,992,BBDDDBBDBBDDD
165,992,BBDDDBBDBBDDD
166,992,BBDDDBBDBBDDD
167,992,BBDDDBBDBBDDD
168,992,BBDDDBBDBBDDD
169,992,BBDDDBBDBBDDD
170,992,BBDDDBBDBBDDD
171,992,BBDDDBBDBBDDD
172,992,BBDDDBBDBBDDD
173,992,BBDDDBBDBBDDD
174,992,BBDDDBBDBBDDD
175,992,BBDDDBBDBBDDD
176,992,BBDDDBBDBBDDD
177,992,BBDDDBBDBBDDD
178,992,BBDDDBBDBBDDD
179,992,BBDDDBBDBBDDD
180,992,BBDDDBBDBBDDD
181,992,BBDDDBBDBBDDD
182,992,BBDDDBBDBBDDD
183,992,BBDDDBBDBBDDD
184,992,BBDDDBBDBBDDD
185,992,BBDDDBBDBBDDD
186,992,BBDDDBBDBBDDD
187,992,BBDDDBBDBBDDD
188,992,BBDDDBBDBBDDD
189,992,BBDDDBBDBBDDD
190,992,BBDDDBBDBBDDD
191,992,BBDDDBBDBBDDD
192,992,BBDDDBBDBBDDD
193,992,BBDDDBBDBBDDD
194,992,BBDDDBBDBBDDD
195,992,BBDDDBBDBBDDD
196,992,BBDDDBBDBBDDD
197,992,BBDDDBBDBBDDD
198,992,BBDDDBBDBBDDD
199,992,BBDDDBBDBBDDD
200,993,BBDDDBBDBBDDDD
201,993,BBDDDBBDBBDDDD
202,997,BBDDDBBDBBDDDDDDDB
203,997,BBDDDBBDBBDDDDDDDB
204,997,BBDDDBBDBBDDDDDDDB
205,999,BBDDDBBDBBDDDDDDDBBD
206,1000,BBDDDBBDBBDDDDDDDBBDDE
