Geracao,Fitness,Genoma
1,484,BDBEBBDCCDBEBEDDEBECEEDEEDCCCEBDCDBCDBEBCCDCBEBCDDC
2,484,BDBEBBDCCDBEBEDDEBECEEDEEDCCCEBDCDBCDBEBCCDCBEBCDDC
3,485,DBBDDDBECEEECDCDEDBCDEDDEDEDEDEDDBDB
4,485,DDDDDDCBBBBCEDDDCECEEDCDEEBEEEDCCBEC
5,485,DDDDDDBECEDBCCCDCDBEBEDEEDBBCECDBBEB
6,485,DDDDDBDCBEEECEDDEDDCDDEBBBEDEDDBDBCCDEEED
7,485,BBBBBBEEBEBDCDCEDEBECEEDCDEBBDCCBBBBBBDCE
8,486,BDBDDBBBCECBECCDCEBCCEDECDEEEBBBCCDBBCEB
9,486,DDDDDBBDCEDEEDBEDDDBCBDCBDDEEDBEDECBDD
10,488,BDBDDBBDBEEDCEBECDCCEBCEEDECBDCCBEDEECE
11,488,BDBDDBBDBEDDDDBECDDCDBDEEDECBDBDBEDBDC
12,490,BDBDDBBDBBDCECBEDDEBBECEEDDEBDCDBECCDD
13,490,BDBDDBBDBBDCCECECBECBEDDEDDCEEBDBECDBE
14,491,BDBDDBBDBBDDCCBBCBDBCBDBCDBEDDBDDBDCDC
15,491,BDBDDBBDBBDDCCBBCBDBCBDBCDBEDDBDDBDCDC
16,491,BDBDDBBDBBDDCCDBDBDECEEECDDECEBCCECCD
17,491,BDBDDBBDBBDDCCBECBDECDEBCDDDCBBCCBEBDBB
18,491,BDBDDBBDBBDDCCDBCBDECEEDBDDECECCCBEC
19,491,BDBDDBBDBBDDCEBEBBEECDDEEDDDCCBDCBEEDCB
20,491,BDBDDBBDBBDDCCBBCDEBBEDEEDBCEBBDCBD
21,491,BDBDDBBDBBDDCEBBEEBBCDDECDBEEBBCDBCD
22,491,BDBDDBBDBBDDCCBEEDBECBCBCDBBEBCCCB
23,491,BDBDDBBDBBDDCEBBEDEECDCEEEBECBCDCBE
24,491,BDBDDBBDBBDDCDEDCDBDBEDBBDEBECCDCEE
25,491,BDBDDBBDBBDDCDCEEDECBDDDBEBBEBBCCEDD
26,491,BDBDDBBDBBDDCCBEBDEECBDEEBDDCECDCBC
27,491,BDBDDBBDBBDDCEBEBEEBCDDBCDBCECBDBD
28,491,BDBDDBBDBBDDCCBEBDDBBDEDBDDBEBCDCCD
29,491,BDBDDBBDBBDDCCECEDEBEDDEBDDBECCBCC
30,491,BDBDDBBDBBDDCEBBEDDCBBDECDDEEEBDBBCEB
31,491,BDBDDBBDBBDDCBDECEBBCDDEDDDEEBCDED
32,491,BDBDDBBDBBDDCEBEBBDBEDEECEDBEDCBBCD
33,491,BDBDDBBDBBDDCEBEEDBBCDBBDDDEEBCD
34,491,BDBDDBBDBBDDCEBEEDEBBDEEBDBEBBCDCB
35,491,BDBDDBBDBBDDCCDEBDDBBEDDBDCBECBCCCE
36,491,BDBDDBBDBBDDCEBEBEDBBEDBEDDBEDBDB
37,491,BDBDDBBDBBDDBBBECEBDBDEDCDDBEDBD
38,491,BDBDDBBDBBDDBEEDEDBBCDDBCDBBEBBE
39,491,BDBDDBBDBBDDCEBBEBBCBBEBBDDBEDBC
40,492,BDBDDBBDBBDDDBCCDEBCEDDDDDDBEBB
41,492,BDBDDBBDBBDDDBDEEEDCEDDBDDDBEBDD
42,492,BDBDDBBDBBDDDBEEEECCEDDEEDDBEBDCD
43,493,BDBDDBBDBBDDDDCEDDBCEDEDCDDEECEE
44,493,BDBDDBBDBBDDDDBEBCBBEECBEDDBEDCD
45,493,BDBDDBBDBBDDDDBBEEBBEEDBDBDEED
46,493,BDBDDBBDBBDDDDBBECBBEEDBBDDECD
47,494,BDBDDBBDBBDDDDDCDEDBBBDDEDBBCC
48,494,BDBDDBBDBBDDDDDCCEBDBBDEEDBBE
49,494,BDBDDBBDBBDDDDDCCCDBBDDDEDBB
50,495,BDBDDBBDBBDDDDDDCCBBCDDEEDBBCE
51,495,BDBDDBBDBBDDDDDDBCBBEEDBBDBD
52,495,BDBDDBBDBBDDDDDDCBBBBDEBECDBC
53,495,BDBDDBBDBBDDDDDDBDDBEEDBBDDED
54,498,BDBDDBBDBBDDDDDDDBBBEDDBBDB
55,498,BDBDDBBDBBDDDDDDDBBBEDDBBDB
56,498,BDBDDBBDBBDDDDDDDBBBEDDBBDB
57,498,BDBDDBBDBBDDDDDDDBBBEDDEBDB
58,498,BDBDDBBDBBDDDDDDDBBBEDDEBDB
59,498,BDBDDBBDBBDDDDDDDBBBEDDEBDB
60,800,BDBDDBBDBBDDDDDDDCBBBDDBDDCE
61,800,BDBDDBBDBBDDDDDDDCBBBDDEEDED
62,800,BDBDDBBDBBDDDDDDDCBBBDDEDDB
63,800,BDBDDBBDBBDDDDDDDCBBBDDEE
64,800,BDBDDBBDBBDDDDDDDCBBBDDEE
65,800,BDBDDBBDBBDDDDDDDCBBBDDEE
66,800,BDBDDBBDBBDDDDDDDCBBBDD
67,800,BDBDDBBDBBDDDDDDDCBBBDD
68,800,BDBDDBBDBBDDDDDDDCBBBDD
69,994,BDBDDBBDBBDDDDDDDBBEEEE
70,995,BDBDDBBDBBDDDDDDDBBEEE
71,1000,BDBDDBBDBBDDDDDDDBBDDEB
